Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0141000727,410135,HOSPITAL QUIRONSALUD INFANTA LUISA,Andalucía,Sevilla,Sevilla,CALLE SAN JACINTO 87,41010,954330100,139,Hospitales Generales,Privados,,Sin concierto,NO
0141001379,410233,HOSPITAL SAN AGUSTIN,Andalucía,Sevilla,Dos Hermanas,"CALLE PROLONGACION DOCTOR FLEMING, SECTOR 13 S/N",41703,955050570,93,Hospitales Generales,Privados,,Sin concierto,NO
0141001671,410375,HOSPITAL VITHAS  SEVILLA,Andalucía,Sevilla,Castilleja de la Cuesta,GLORIETA ANGEL DOMINGUEZ JIMENEZ PEDIATRA 2,41950,954464000,148,Hospitales Generales,Privados,,Concierto parcial,NO
0141001947,410386,HOSPITAL DE ALTA RESOLUCION DE UTRERA,Andalucía,Sevilla,Utrera,CALLE BRIGADAS INTERNACIONALES S/N,41710,955839097,14,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141002499,410409,HOSPITAL VIAMED SANTA ANGELA DE LA CRUZ,Andalucía,Sevilla,Sevilla,AVENIDA DE JEREZ 59,41014,954032000,105,Hospitales Generales,Privados,,Sin concierto,NO
0141006016,410454,HOSPITAL DE ALTA RESOLUCION DE LEBRIJA,Andalucía,Sevilla,Lebrija,AVENIDA EL CUERVO S/N,41740,900000000,22,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141006243,410346,HOSPITAL PSIQUIATRICO PENITENCIARIO,Andalucía,Sevilla,Sevilla,"CARRETERA TORREBLANCA-MAIRENA KM. 3,5 S/N",41007,955616666,184,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0141006465,410432,CLINICA DE SALUD MENTAL MIGUEL DE MAÑARA,Andalucía,Sevilla,Dos Hermanas,CALLE HERMANOS DE LA CRUZ BLANCA 1,41089,954127033,18,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Sin concierto,SI
0141006842,410476,HOSPITAL DE LA  MUJER,Andalucía,Sevilla,Sevilla,AVENIDA MANUEL SIUROT S/N,41013,955012720,221,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0141006864,410205,HOSPITAL DE EMERGENCIA COVID 19,Andalucía,Sevilla,Sevilla,CALLE MARIA GALIANA 8,41013,955013466,276,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0222000001,220036,HOSPITAL SAGRADO CORAZON DE JESUS,Aragón,Huesca,Huesca,PASEO LUCAS MALLADA 22,22006,974292000,68,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0222000002,220015,HOSPITAL UNIVERSITARIO SAN JORGE,Aragón,Huesca,Huesca,AVENIDA MARTINEZ DE VELASCO 36,22004,974247000,251,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0222000003,220054,HOSPITAL DE BARBASTRO,Aragón,Huesca,Barbastro,CARRETERA NACIONAL 240 S/N,22300,974249000,175,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0222000004,220020,CENTRO DE REHABILITACION PSICOSOCIAL SANTO CRISTO DE LOS MILAGROS,Aragón,Huesca,Huesca,"CARRETERA ARGUIS KM 2,5",22006,974220772,107,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0222000005,220089,HOSPITAL DE JACA SALUD,Aragón,Huesca,Jaca,CARRETERA RAPITAN S/N,22700,974355331,46,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0222000006,220041,HOSPITAL VIAMED SANTIAGO,Aragón,Huesca,Huesca,CALLE SARIÑENA 12,22004,974220600,26,Hospitales Generales,Privados,,Sin concierto,NO
0222000030,220105,CENTRO SANITARIO BAJO CINCA-BAIX CINCA,Aragón,Huesca,Fraga,CALLE HERMANA ANDRESA 2,22520,974474545,20,Otros Centros con Internamiento,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0244000001,440048,HOSPITAL DE ALCAÑIZ,Aragón,Teruel,Alcañiz,CALLE DOCTOR REPOLLES 2,44600,978830100,145,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0244000002,440012,HOSPITAL OBISPO POLANCO,Aragón,Teruel,Teruel,AVENIDA RUIZ JARABO S/N,44002,978654000,215,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0244000003,440027,HOSPITAL DE SAN JOSE,Aragón,Teruel,Teruel,AVENIDA ZARAGOZA 16,44001,978654070,50,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0244000004,440033,CENTRO DE REHABILITACION PSICOSOCIAL SAN JUAN DE DIOS,Aragón,Teruel,Teruel,AVENIDA ZARAGOZA 10-14,44001,978654040,150,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Red de utilización pública (RUP),SI
0250000001,500114,HOSPITAL SAN JUAN DE DIOS,Aragón,Zaragoza,Zaragoza,PASEO COLON 14,50006,976271660,188,Hospitales de media y larga estancia,Organizaciones No Gubernamentales,,Red de utilización pública (RUP),SI
0250000034,500068,CENTRO DE REHABILITACION PSICOSOCIAL NUESTRA SEÑORA DEL PILAR,Aragón,Zaragoza,Zaragoza,CALLE DUQUESA VILLAHERMOSA 66-68,50009,976331500,191,Hospitales de salud mental y tratamiento de toxicomanías,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0250000035,500093,"CLINICA MONTPELLIER, GRUPO HLA,  S.A.U",Aragón,Zaragoza,Zaragoza,VIA HISPANIDAD 37,50012,976765300,89,Hospitales Generales,Privados,,Sin concierto,NO
0250000067,500188,UNIDAD REHABILITADORA DE MEDIA ESTANCIA PROFESOR REY ARDID,Aragón,Zaragoza,Zaragoza,CALLE CAMINO VIEJO DE LA ALFOCEA 10,50191,976731000,39,Hospitales de salud mental y tratamiento de toxicomanías,Organizaciones No Gubernamentales,,Red de utilización pública (RUP),NO
0250000068,500055,HOSPITAL ROYO VILLANOVA,Aragón,Zaragoza,Zaragoza,AVENIDA SAN GREGORIO 30,50015,976466910,254,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0250000069,500021,HOSPITAL UNIVERSITARIO MIGUEL SERVET,Aragón,Zaragoza,Zaragoza,PASEO ISABEL LA CATOLICA 1-3,50009,976765500,1264,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0250000070,500107,CENTRO NEUROPSIQUIATRICO NUESTRA SEÑORA DEL CARMEN,Aragón,Zaragoza,Zaragoza,CAMINO ABEJAR 100,50190,976770635,268,Hospitales de salud mental y tratamiento de toxicomanías,Organizaciones No Gubernamentales,,Sin concierto,NO
